time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-30T16:12:14.805Z,59.0739,-147.465,4,3.1,ml,,,,0.54,ak,ak019gq97vj5,2019-12-30T16:24:21.228Z,"76km WSW of Middleton Island, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-12-30T16:06:27.605Z,61.3546,-150.1077,31.9,3,ml,,,,0.78,ak,ak019gq96lu3,2019-12-30T22:09:45.040Z,"18km NW of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-30T16:03:27.880Z,33.2236667,-116.7491667,7.98,2.58,ml,85,24,0.01468,0.22,ci,ci39017695,2019-12-30T22:59:22.979Z,"2km SSE of Lake Henshaw, CA",earthquake,0.2,0.59,0.172,26,automatic,ci,ci
2019-12-30T14:37:40.076Z,65.7968,-150.4884,13.8,2.5,ml,,,,0.77,ak,ak019gq86ex0,2019-12-30T14:50:58.487Z,"88km N of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-12-30T14:36:56.071Z,33.8749,136.9595,368.81,4.1,mb,,132,1.291,0.65,us,us70006sh0,2019-12-30T22:01:26.040Z,"68km S of Toba, Japan",earthquake,10.5,7.8,0.086,37,reviewed,us,us
2019-12-30T14:04:39.006Z,65.7959,-150.8731,5.5,3.4,ml,,,,0.57,ak,ak019gq7zc59,2019-12-30T21:59:15.040Z,"89km NE of Tanana, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-12-30T13:49:45.224Z,27.4014,56.5176,10,5,mww,,70,2.462,0.55,us,us70006sg8,2019-12-30T17:52:50.123Z,"33km NE of Bandar 'Abbas, Iran",earthquake,5.6,1.9,0.08,15,reviewed,us,us
2019-12-30T13:43:02.664Z,63.2856,-151.5546,0,2.9,ml,,,,1.03,ak,ak019gq7m2zb,2019-12-30T14:33:21.040Z,"130km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-12-30T13:37:19.672Z,60.8478,-149.7487,19.8,2.5,ml,,,,0.9,ak,ak019gq7kxo8,2019-12-30T14:27:15.040Z,"42km SSE of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-12-30T13:26:18.940Z,38.796833,-122.7791672,3.71,2.53,md,41,60,0.007751,0.06,nc,nc73321416,2019-12-30T18:02:35.072Z,"3km NW of The Geysers, CA",earthquake,0.15,0.27,0.16,37,automatic,nc,nc
2019-12-30T13:23:01.024Z,65.7986,-150.8709,7.2,3.7,ml,,,,0.62,ak,ak019gq7hw5n,2019-12-30T18:24:40.040Z,"89km NE of Tanana, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-12-30T12:00:23.740Z,19.1668339,-155.4481659,34.14,2.68,ml,12,209,0.1759,0.11,hv,hv71309382,2019-12-30T12:06:03.710Z,"5km SE of Pahala, Hawaii",earthquake,1.45,1.16,3.93,9,automatic,hv,hv
2019-12-30T10:41:05.660Z,35.8668333,-117.7025,6.75,2.91,ml,37,50,0.07714,0.15,ci,ci39017359,2019-12-30T17:34:25.140Z,"20km ESE of Little Lake, CA",earthquake,0.14,0.39,0.189,76,reviewed,ci,ci
2019-12-30T08:49:38.831Z,65.8092,-150.6416,12.7,2.7,ml,,,,0.63,ak,ak019gq4odnv,2019-12-30T08:54:02.896Z,"90km N of Manley Hot Springs, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-12-30T06:16:52.228Z,-8.3909,-76.1617,127.11,4.6,mb,,135,3.636,0.66,us,us70006scn,2019-12-30T06:41:24.040Z,"34km ENE of Uchiza, Peru",earthquake,11,6.2,0.048,128,reviewed,us,us
2019-12-30T06:06:13.670Z,18.6823,-68.952,130,3.67,md,9,229,0.6518,0.46,pr,pr2019364050,2019-12-31T03:08:39.435Z,"10km NNE of Guaymate, Dominican Republic",earthquake,5.75,2.52,0.18,7,reviewed,pr,pr
2019-12-30T06:05:07.648Z,68.7152,-146.5008,0,3.1,ml,,,,0.34,ak,ak019gq380jw,2019-12-30T08:07:24.040Z,"76km NNW of Arctic Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-12-30T05:57:55.689Z,36.87433333,-97.91333333,7.35,3.73,ml,87,80,0,0.18,ok,ok2019znrk,2019-12-31T03:55:35.756Z,"16km NW of Medford, Oklahoma",earthquake,,0.5,0.22,31,reviewed,ok,ok
2019-12-30T05:33:17.330Z,19.4106667,-155.3075,3.2,2.87,ml,25,94,0.008138,0.1,hv,hv71309047,2019-12-30T21:59:04.910Z,"7km WSW of Volcano, Hawaii",earthquake,0.27,0.34,0.185,38,reviewed,hv,hv
2019-12-30T05:28:41.340Z,18.0936,-68.8031,10,3.25,md,8,343,1.6957,0.54,pr,pr2019364048,2019-12-31T03:27:29.945Z,"37km SSW of Boca de Yuma, Dominican Republic",earthquake,7.5,31.61,0.3,7,reviewed,pr,pr
2019-12-30T05:13:03.160Z,19.2905,-67.3178,13,2.96,md,8,318,0.8485,0.23,pr,pr2019364046,2019-12-31T01:41:11.104Z,"91km NNW of San Antonio, Puerto Rico",earthquake,10.02,14.13,0.15,7,reviewed,pr,pr
2019-12-30T04:16:40.150Z,36.6523323,-121.2724991,5.46,2.76,md,46,66,0.05351,0.1,nc,nc73321286,2019-12-30T16:43:36.821Z,"16km SSE of Tres Pinos, CA",earthquake,0.18,0.78,0.17,50,automatic,nc,nc
2019-12-30T04:11:09.244Z,27.871,142.8735,10.88,5.2,mww,,64,0.985,0.81,us,us70006sbu,2019-12-30T04:28:46.040Z,"108km NE of Chichi-shima, Japan",earthquake,7.2,4.3,0.08,15,reviewed,us,us
2019-12-30T04:01:33.204Z,19.7415,-105.2979,35,4.7,mb,,177,4.654,1.4,us,us70006sbp,2019-12-31T01:13:55.256Z,"21km SSW of Tomatlan, Mexico",earthquake,10,2,0.027,423,reviewed,us,us
2019-12-30T03:32:08.520Z,18.4713,-67.5645,19,2.73,md,10,323,0.1218,0.19,pr,pr2019364037,2019-12-30T23:57:08.750Z,"36km WNW of Rincon, Puerto Rico",earthquake,2.88,0.48,0.29,8,reviewed,pr,pr
